0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:32:25 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:32:25 -0200] "GET /VendasPecas/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2082
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:00 -0200] "POST /VendasPecas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:02 -0200] "POST /VendasPecas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:47 -0200] "GET /VendasPecas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 16218
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:47 -0200] "GET /VendasPecas/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:47 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:47 -0200] "GET /VendasPecas/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2082
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:47 -0200] "GET /VendasPecas/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:47 -0200] "GET /VendasPecas/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:47 -0200] "GET /VendasPecas/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:47 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:47 -0200] "GET /VendasPecas/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2082
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:51 -0200] "GET /VendasPecas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 16214
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:51 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:51 -0200] "GET /VendasPecas/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:51 -0200] "GET /VendasPecas/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:51 -0200] "GET /VendasPecas/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:51 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:51 -0200] "GET /VendasPecas/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:51 -0200] "GET /VendasPecas/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2082
